# fonte: https://www.bcb.gov.br/content/estabilidadefinanceira/str1/ParticipantesSTR.csv
# baixado_em: 2026-09-24
# linhas: 463
# sha256_bruto: 3073c905bcf196c56c78e5cd8244588b7781c6aa02fd8659027d7f5529e3abb9
codigo,ispb,nome
001,00000000,Banco do Brasil S.A.
003,04902979,BANCO DA AMAZONIA S.A.
004,07237373,Banco do Nordeste do Brasil S.A.
007,33657248,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
010,81723108,CREDICOAMO CREDITO RURAL COOPERATIVA
011,61809182,UBS (BRASIL) CORRETORA DE VALORES S.A.
012,04866275,Banco Inbursa S.A.
014,09274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL
015,02819125,"UBS BB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
016,04715685,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN
017,42272526,BNY Mellon Banco S.A.
018,57839805,Banco Tricury S.A.
021,28127603,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
023,53720128,CONTA SIMPLES SOCIEDADE DE CRÉDITO DIRETO S.A.
024,10866788,Banco Bandepe S.A.
025,03323840,Banco Alfa S.A.
033,90400888,BANCO SANTANDER (BRASIL) S.A.
036,06271464,Banco Bradesco BBI S.A.
037,04913711,Banco do Estado do Pará S.A.
040,03609817,Banco Cargill S.A.
041,92702067,Banco do Estado do Rio Grande do Sul S.A.
047,13009717,Banco do Estado de Sergipe S.A.
060,04913129,CONFIDENCE SOCIEDADE CORRETORA DE CAMBIO S.A.
063,04184779,Banco Bradescard S.A.
064,04332281,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
065,48795256,Banco AndBank (Brasil) S.A.
066,02801938,BANCO MORGAN STANLEY S.A.
069,61033106,Banco Crefisa S.A.
070,00000208,BRB - BANCO DE BRASILIA S.A.
074,03017677,Banco J. Safra S.A.
075,03532415,BANCO ABN AMRO CLEARING S.A.
076,07656500,Banco KDB do Brasil S.A.
077,00416968,Banco Inter S.A.
078,34111187,Haitong Banco de Investimento do Brasil S.A.
079,09516419,PICPAY BANK - BANCO MÚLTIPLO S.A
080,73622748,BT CORRETORA DE CÂMBIO LTDA.
081,10264663,BancoSeguro S.A.
082,07679404,BANCO TOPÁZIO S.A.
083,10690848,Banco da China Brasil S.A.
084,02398976,SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO
085,05463212,Cooperativa Central de Crédito - Ailos
088,11476673,BANCO RANDON S.A.
089,62109566,CREDISAN COOPERATIVA DE CRÉDITO
093,07945233,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
094,11758741,Banco Finaxis S.A.
095,11703662,BANCO TRAVELEX S.A.
096,00997185,Banco B3 S.A.
097,04632856,CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO
099,03046391,UNIPRIME CENTRAL NACIONAL - CENTRAL NACIONAL DE COOPERATIVA DE CREDITO
100,00806535,Planner Corretora de Valores S.A.
101,62287735,WARREN RENA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
102,02332886,"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A"
104,00360305,CAIXA ECONOMICA FEDERAL
105,07652226,"Lecca Crédito, Financiamento e Investimento S/A"
107,15114366,Banco Bocom BBM S.A.
111,36113876,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.
113,61723847,NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
119,13720915,Banco Western Union do Brasil S.A.
120,33603457,BANCO RODOBENS S.A.
121,10664513,Banco Agibank S.A.
122,33147315,Banco Bradesco BERJ S.A.
124,15357060,Banco Woori Bank do Brasil S.A.
125,45246410,BANCO GENIAL S.A.
126,13220493,BR Partners Banco de Investimento S.A.
127,09512542,Codepe Corretora de Valores e Câmbio S.A.
128,19307785,BRAZA BANK S.A. BANCO DE CÂMBIO
129,18520834,UBS BB BANCO DE INVESTIMENTO S.A.
130,09313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
131,61747085,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA
132,17453575,ICBC do Brasil Banco Múltiplo S.A.
133,10398952,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO
134,33862244,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
136,00315557,COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL
138,10853017,GET MONEY SOCIEDADE CORRETORA DE CÂMBIO S.A.
139,55230916,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
140,62169875,NU INVESTIMENTOS S.A. - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS
141,09526594,BANCO MASTER DE INVESTIMENTO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
142,16944141,Broker Brasil Corretora de Câmbio Ltda.
143,02992317,INTEX BANK BANCO DE CÂMBIO S.A.
144,13059145,EBURY BANCO DE CÂMBIO S.A.
145,50579044,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.
146,24074692,GUITTA CORRETORA DE CAMBIO LTDA.
149,15581638,Facta Financeira S.A. - Crédito Financiamento e Investimento
157,09105360,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.
159,05442029,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor
173,13486793,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
